,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Barcelona,Barcelona,GPE,0.0,0.12777777777777777,en,3,-1,,,,,
America,America,GPE,0.16287878787878787,0.4318181818181818,en,3,-1,,,,,
Illinois,Illinois,GPE,-0.005555555555555559,0.30185185185185187,en,3,-1,,,,,
West Virginia,West Virginia,GPE,-0.08,0.3855555555555555,en,3,-1,,,,,
the United States,the United States,GPE,0.14444444444444446,0.7222222222222223,en,3,-1,,,,,
Mumbai,Mumbai,GPE,0.4425925925925926,0.5310185185185184,en,3,-1,,,,,
Gaza,Gaza,GPE,-0.17500000000000002,0.325,en,3,-1,,,,,
New Orleans,New Orleans,GPE,0.009696969696969695,0.4634343434343435,en,3,-1,,,,,
Europe,Europe,LOC,-0.02361111111111111,0.25277777777777777,en,3,-1,,,,,
Kyiv,Kyiv,GPE,-0.03333333333333333,0.2333333333333333,en,3,-1,,,,,
Americas,Americas,LOC,0.024621212121212117,0.40151515151515155,en,3,-1,,,,,
Spain,Spain,GPE,0.13333333333333333,0.19999999999999998,en,3,-1,,,,,
Chennai,Chennai,GPE,-0.08333333333333333,0.3138888888888889,en,3,-1,,,,,
Antarctic,Antarctic,LOC,0.016666666666666663,0.2333333333333333,en,3,-1,,,,,
Columbus,Columbus,GPE,0.013888888888888888,0.28611111111111115,en,3,-1,,,,,
Coral Reef,Coral Reef,LOC,-0.10000000000000002,0.3333333333333333,en,2,-1,,,,,
Pune,Pune,GPE,-0.07666666666666667,0.2266666666666667,en,2,-1,,,,,
Shanghai,Shanghai,GPE,0.0,0.0,en,2,-1,,,,,
Jollywood,Jollywood,GPE,0.32499999999999996,0.49583333333333335,en,2,-1,,,,,
Belém,Belém,GPE,0.25,0.25,en,2,-1,,,,,
Asia,Asia,LOC,0.0,0.0,en,2,-1,,,,,
Long Beach,Long Beach,GPE,-0.0050000000000000044,0.4533333333333333,en,2,-1,,,,,
Iowa,Iowa,GPE,-0.08333333333333334,0.375,en,2,-1,,,,,
Moscow,Moscow,GPE,0.16,0.27999999999999997,en,2,-1,,,,,
Leningrad,Leningrad,GPE,0.4875,1.0,en,2,-1,,,,,
Appalachia,Appalachia,LOC,0.0,0.05,en,2,-1,,,,,
Thamesmead,Thamesmead,GPE,0.0,0.0,en,2,-1,,,,,
KY,KY,GPE,0.0,0.30000000000000004,en,2,-1,,,,,
North America,North America,LOC,-0.06666666666666667,0.2333333333333333,en,2,-1,,,,,
Palm,Palm,GPE,0.25,0.3333333333333333,en,2,-1,,,,,
A.L.,A.L.,GPE,0.0,0.15,en,2,-1,,,,,
Lake Superior,Lake Superior,LOC,0.32499999999999996,0.45,en,2,-1,,,,,
Türkiye,Türkiye,GPE,0.16666666666666666,0.3888888888888889,en,2,-1,,,,,
Vail,Vail,GPE,0.17532467532467533,0.5487012987012987,en,2,-1,,,,,
Colorado,Colorado,GPE,0.22022727272727274,0.561590909090909,en,2,-1,,,,,
Croatia,Croatia,GPE,0.13999999999999999,0.18,en,2,-1,,,,,
the Atlantic Basin,the Atlantic Basin,LOC,0.4,0.75,en,2,-1,,,,,
Charleston,Charleston,GPE,0.0,0.0,en,2,-1,,,,,
the Caribbean Sea,the Caribbean Sea,LOC,-0.11666666666666667,0.5166666666666667,en,2,-1,,,,,
Rimtang,Rimtang,GPE,0.0,0.0,en,2,-1,,,,,
Chicago,Chicago,GPE,0.25,0.25,en,2,-1,,,,,
Hong Kong's,Hong Kong's,GPE,0.151875,0.6299999999999999,en,2,-1,,,,,
Alabama,Alabama,GPE,0.21306818181818182,0.5685606060606061,en,2,-1,,,,,
Atlanta,Atlanta,GPE,0.21306818181818182,0.5685606060606061,en,2,-1,,,,,
Kabul,Kabul,GPE,-0.380952380952381,0.7380952380952381,en,2,-1,,,,,
Cuba,Cuba,GPE,-0.14444444444444443,0.4277777777777777,en,2,-1,,,,,
Georgia,Georgia,GPE,0.21306818181818182,0.5685606060606061,en,2,-1,,,,,
Canada,Canada,GPE,0.033333333333333326,0.2833333333333333,en,2,-1,,,,,
Queensland,Queensland,GPE,0.25,0.25,en,2,-1,,,,,
St. Louis,St. Louis,GPE,0.018888888888888893,0.44666666666666666,en,2,-1,,,,,
Elkhart,Elkhart,GPE,0.11931818181818182,0.4810606060606061,en,2,-1,,,,,
B.C.,B.C.,GPE,-0.09444444444444444,0.4416666666666667,en,2,-1,,,,,
Indiana,Indiana,GPE,0.11931818181818182,0.4810606060606061,en,2,-1,,,,,
Conn.,Conn.,GPE,-0.3,0.5,en,2,-1,,,,,
United States,United States,GPE,-0.07727272727272727,0.2674242424242424,en,2,-1,,,,,
Light Ivory,Light Ivory,GPE,0.08750000000000001,0.48124999999999996,en,2,-1,,,,,
New York City,New York City,GPE,0.19253246753246755,0.4763347763347764,en,2,-1,,,,,
Madagascar,Madagascar,GPE,0.5,0.5,en,2,-1,,,,,
Chadster,Chadster,GPE,-0.1548076923076923,0.5307692307692308,en,2,-1,,,,,
South America,South America,LOC,0.06666666666666667,0.35000000000000003,en,2,-1,,,,,
Kan.,Kan.,GPE,-0.10000000000000003,0.5166666666666667,en,1,-1,,,,,
Georgetown,Georgetown,GPE,-0.19999999999999998,0.75,en,1,-1,,,,,
Mongolia,Mongolia,GPE,0.45,0.625,en,1,-1,,,,,
chile,chile,GPE,0.375,0.5,en,1,-1,,,,,
Turkey,Turkey,GPE,0.8,0.75,en,1,-1,,,,,
Bogar AR,Bogar AR,GPE,0.0,0.0,en,1,-1,,,,,
Tokyo,Tokyo,GPE,-0.4,0.7,en,1,-1,,,,,
turkey,turkey,GPE,-0.15625,0.71875,en,1,-1,,,,,
Ireland,Ireland,GPE,0.5,0.5,en,1,-1,,,,,
BRUSSELS,BRUSSELS,GPE,0.09166666666666667,0.45,en,1,-1,,,,,
et al,et al,GPE,0.0,0.0,en,1,-1,,,,,
Hong Kong,Hong Kong,GPE,0.0,0.0,en,1,-1,,,,,
Adriatic,Adriatic,LOC,0.425,0.5,en,1,-1,,,,,
VA,VA,GPE,-0.3,0.5,en,1,-1,,,,,
South Africa,South Africa,GPE,0.0,1.0,en,1,-1,,,,,
commande,commande,GPE,0.06875,0.4,en,1,-1,,,,,
Goa,Goa,GPE,0.0,0.0,en,1,-1,,,,,
Honolulu,Honolulu,GPE,0.0,0.0,en,1,-1,,,,,
Flemington,Flemington,GPE,0.125,0.31111111111111106,en,1,-1,,,,,
Acapulco,Acapulco,GPE,-0.15555555555555559,0.2888888888888889,en,1,-1,,,,,
Tarquinia,Tarquinia,GPE,0.0,0.0,en,1,-1,,,,,
Italy,Italy,GPE,-0.2,0.37500000000000006,en,1,-1,,,,,
Hunan,Hunan,GPE,-0.14285714285714285,0.35714285714285715,en,1,-1,,,,,
Reborn,Reborn,GPE,-0.26666666666666666,0.3,en,1,-1,,,,,
Manhattan,Manhattan,GPE,0.0,0.0,en,1,-1,,,,,
EPCOT,EPCOT,GPE,0.5,0.2,en,1,-1,,,,,
Philippines,Philippines,GPE,0.16666666666666666,0.3333333333333333,en,1,-1,,,,,
the Jordan River,the Jordan River,LOC,0.0,0.0,en,1,-1,,,,,
the east bank,the east bank,GPE,0.0,0.0,en,1,-1,,,,,
Perth,Perth,GPE,-0.25961538461538464,0.46153846153846156,en,1,-1,,,,,
the Sonoran Desert,the Sonoran Desert,LOC,0.0,0.0,en,1,-1,,,,,
LOUISVILLE,LOUISVILLE,GPE,-0.1,0.2,en,1,-1,,,,,
Shinozaki K,Shinozaki K,GPE,0.0,0.0,en,1,-1,,,,,
Jacksonville,Jacksonville,GPE,0.0,0.0,en,1,-1,,,,,
JACKSONVILLE,JACKSONVILLE,GPE,0.0,0.0,en,1,-1,,,,,
Philadelphia,Philadelphia,GPE,0.25,0.5,en,1,-1,,,,,
Arctic National Wildlife Refug,Arctic National Wildlife Refug,LOC,0.0,0.05,en,1,-1,,,,,
Arctic National Wildlife Refuge,Arctic National Wildlife Refuge,LOC,0.0,0.05,en,1,-1,,,,,
the mediterranean sea,the mediterranean sea,LOC,0.0,0.0,en,1,-1,,,,,
tRNAs,tRNAs,GPE,0.0,0.0,en,1,-1,,,,,
Dublin,Dublin,GPE,0.33,0.5666666666666667,en,1,-1,,,,,
the South Pole Basin,the South Pole Basin,LOC,0.0,0.0,en,1,-1,,,,,
The United States,The United States,GPE,0.175,0.43499999999999994,en,1,-1,,,,,
the Middle East,the Middle East,LOC,0.0,0.0,en,1,-1,,,,,
Manchester United,Manchester United,GPE,-0.05,0.08125,en,1,-1,,,,,
England,England,GPE,-0.05,0.08125,en,1,-1,,,,,
MIAMI,MIAMI,GPE,-0.4333333333333333,0.6,en,1,-1,,,,,
vermút,vermút,GPE,0.2,0.3,en,1,-1,,,,,
Kastellorizo,Kastellorizo,LOC,0.09999999999999999,0.5333333333333333,en,1,-1,,,,,
Bollywood,Bollywood,GPE,0.0,0.0,en,1,-1,,,,,
Bombay,Bombay,GPE,0.08,0.26999999999999996,en,1,-1,,,,,
MUMBAI,MUMBAI,GPE,0.08,0.26999999999999996,en,1,-1,,,,,
Wyncote,Wyncote,GPE,0.25,0.5,en,1,-1,,,,,
ATHENS,ATHENS,GPE,0.0,0.0,en,1,-1,,,,,
Pa.,Pa.,GPE,0.25,0.5,en,1,-1,,,,,
Baja,Baja,GPE,0.1672727272727273,0.3559090909090909,en,1,-1,,,,,
Philly,Philly,LOC,0.0,0.0,en,1,-1,,,,,
Europes,Europes,LOC,0.14375,0.4125,en,1,-1,,,,,
Malaysia,Malaysia,GPE,0.4,0.4,en,1,-1,,,,,
Pacific Northwest,Pacific Northwest,LOC,0.1,0.5,en,1,-1,,,,,
Fla.,Fla.,GPE,0.3232323232323232,0.6515151515151515,en,1,-1,,,,,
TALLAHASSEE,TALLAHASSEE,GPE,0.3232323232323232,0.6515151515151515,en,1,-1,,,,,
recombinases,recombinases,GPE,0.0,0.1,en,1,-1,,,,,
Bethany,Bethany,GPE,0.0,0.0,en,1,-1,,,,,
Jordan,Jordan,GPE,0.0,0.0,en,1,-1,,,,,
Cybertruck,Cybertruck,GPE,0.0,0.0,en,1,-1,,,,,
ISTANBUL,ISTANBUL,GPE,0.03333333333333333,0.3111111111111111,en,1,-1,,,,,
S.C.,S.C.,GPE,0.0,0.0,en,1,-1,,,,,
the Blue Ridge,the Blue Ridge,LOC,0.0,0.1,en,1,-1,,,,,
San Diego,San Diego,GPE,0.25,0.8500000000000001,en,1,-1,,,,,
Pacific Ocean,Pacific Ocean,LOC,0.13636363636363635,0.45454545454545453,en,1,-1,,,,,
Imperial Valley,Imperial Valley,LOC,0.17708333333333334,0.42083333333333334,en,1,-1,,,,,
South Carolina,South Carolina,GPE,0.0,0.0,en,1,-1,,,,,
CHARLESTON,CHARLESTON,GPE,0.0,0.0,en,1,-1,,,,,
St. Louis',St. Louis',GPE,-0.03888888888888888,0.6666666666666666,en,1,-1,,,,,
the north Pacific,the north Pacific,LOC,0.25,0.8500000000000001,en,1,-1,,,,,
Afghanistan,Afghanistan,GPE,0.03809523809523809,0.4761904761904762,en,1,-1,,,,,
Orlando,Orlando,GPE,0.10795454545454546,0.5348484848484848,en,1,-1,,,,,
NY,NY,GPE,0.1751082251082251,0.444011544011544,en,1,-1,,,,,
San Bernardino C,San Bernardino C,GPE,-0.19999999999999998,0.3,en,1,-1,,,,,
Yorkshire Water,Yorkshire Water,LOC,0.0,0.0,en,1,-1,,,,,
Immokalee,Immokalee,GPE,0.1714285714285714,0.557142857142857,en,1,-1,,,,,
Kenya,Kenya,GPE,0.125,0.35625,en,1,-1,,,,,
Key Largo,Key Largo,LOC,0.03333333333333333,0.5,en,1,-1,,,,,
Misso…,Misso…,GPE,0.17045454545454544,0.5348484848484848,en,1,-1,,,,,
Crete,Crete,GPE,-0.19999999999999996,0.29166666666666663,en,1,-1,,,,,
Va.,Va.,GPE,0.0,0.0,en,1,-1,,,,,
Ambolimailaky,Ambolimailaky,GPE,0.0,0.0,en,1,-1,,,,,
Indonesia,Indonesia,GPE,0.13636363636363635,0.45454545454545453,en,1,-1,,,,,
Attic… Rain,Attic… Rain,LOC,-0.19999999999999996,0.29166666666666663,en,1,-1,,,,,
Lahore,Lahore,GPE,0.0,0.0,en,1,-1,,,,,
Pakistan,Pakistan,GPE,0.0,0.0,en,1,-1,,,,,
Williams,Williams,GPE,0.03333333333333333,0.35000000000000003,en,1,-1,,,,,
Nanaimo,Nanaimo,GPE,0.061111111111111116,0.4833333333333334,en,1,-1,,,,,
Central Iowa,Central Iowa,LOC,0.125,0.29166666666666663,en,1,-1,,,,,
Darby Allin,Darby Allin,GPE,-0.325,0.70625,en,1,-1,,,,,
Brisbane/,Brisbane/,GPE,-0.6,0.7,en,1,-1,,,,,
Meanjin,Meanjin,GPE,-0.6,0.7,en,1,-1,,,,,
Roman,Roman,GPE,-0.4,0.55,en,1,-1,,,,,
WASHINGTON,WASHINGTON,GPE,-0.033333333333333326,0.8333333333333334,en,1,-1,,,,,
Texas,Texas,GPE,-0.1,0.1,en,1,-1,,,,,
Northern,Northern,LOC,0.0,0.0,en,1,-1,,,,,
Accor,Accor,GPE,0.0,0.0,en,1,-1,,,,,
Santa Maria,Santa Maria,GPE,-0.1777777777777778,0.48333333333333334,en,1,-1,,,,,
Brisbane,Brisbane,GPE,0.0,1.0,en,1,-1,,,,,
Sydney,Sydney,GPE,0.0,1.0,en,1,-1,,,,,
landfalling Atlantic,landfalling Atlantic,LOC,0.0,0.0,en,1,-1,,,,,
recordis,recordis,GPE,0.0,0.0,en,1,-1,,,,,
STAMFORD,STAMFORD,GPE,-0.3,0.5,en,1,-1,,,,,
Va,Va,GPE,0.17532467532467533,0.5487012987012987,en,1,-1,,,,,
St. Regis,St. Regis,GPE,-0.021212121212121238,0.7848484848484848,en,1,-1,,,,,
barbecue,barbecue,GPE,0.16666666666666666,0.4666666666666667,en,1,-1,,,,,
Central Switzerland,Central Switzerland,LOC,0.13333333333333333,0.48333333333333334,en,1,-1,,,,,
Delhi,Delhi,GPE,0.3333333333333333,0.7166666666666667,en,1,-1,,,,,
Montana,Montana,GPE,-0.016666666666666666,0.3,en,1,-1,,,,,
Marseille,Marseille,GPE,0.5,0.5,en,1,-1,,,,,
HOUSTON,HOUSTON,GPE,0.13636363636363635,0.45454545454545453,en,1,-1,,,,,
RICHMOND,RICHMOND,GPE,0.0,0.0,en,1,-1,,,,,
New Orleans Saints,New Orleans Saints,LOC,0.06818181818181818,0.22727272727272727,en,1,-1,,,,,
Aurora,Aurora,GPE,0.16666666666666666,0.4666666666666667,en,1,-1,,,,,
Southern Hemispheres,Southern Hemispheres,LOC,0.0,0.0,en,1,-1,,,,,
Atlantic Ocean,Atlantic Ocean,LOC,0.016666666666666677,0.5833333333333334,en,1,-1,,,,,
Abilene,Abilene,GPE,-0.1,0.1,en,1,-1,,,,,
the Atlantic Ocean,the Atlantic Ocean,LOC,0.2857142857142857,0.5357142857142857,en,1,-1,,,,,
McDowell County,McDowell County,GPE,0.08,0.3033333333333333,en,1,-1,,,,,
Los Angeles,Los Angeles,GPE,0.0,0.0,en,1,-1,,,,,
the National Oceanic,the National Oceanic,LOC,-0.25,0.45,en,1,-1,,,,,
Pacific Palisades,Pacific Palisades,GPE,0.0,0.0,en,1,-1,,,,,
Tampa,Tampa,GPE,-0.0698051948051948,0.3208874458874459,en,1,-1,,,,,
Colfax,Colfax,GPE,0.5,0.5,en,1,-1,,,,,
Atlantic,Atlantic,LOC,0.0,0.0,en,1,-1,,,,,
UNITED STATES,UNITED STATES,GPE,0.0,0.0,en,1,-1,,,,,
New Hope,New Hope,GPE,0.11818181818181818,0.42727272727272725,en,1,-1,,,,,
CALIFORNIA,CALIFORNIA,GPE,0.0,0.0,en,1,-1,,,,,
Israel,Israel,GPE,-0.125,0.375,en,1,-1,,,,,
East Colfax,East Colfax,GPE,0.0,0.0,en,1,-1,,,,,
"AU$1,300","AU$1,300",GPE,0.2111111111111111,0.5444444444444444,en,1,-1,,,,,
